# Longitude (deg), Latitude (deg), Distance Along Fault (km), Distance Along Fault (m), Scarp Height (m), Scarp Height Std (m), Upper Slope Angle (deg), upper slope std, Lower Slope Angle (deg), lower_slope_std, Filtered Median offset (1km), filtered standard deviation (1km), Filtered Median offset (3km), filtered standard deviation (3km), Filtered Median offset (5km), filtered standard deviation (5km)
31.92,-11.62,0.06,60.00,,,,,,,,,16.20,0.00,23.09,7.48
31.92,-11.62,0.18,180.00,,,,,,,,,24.10,7.91,23.09,7.48
31.92,-11.62,0.30,300.00,,,,,,,,,24.10,7.91,23.09,7.48
31.92,-11.63,0.42,420.00,,,,,,,,,24.10,7.91,23.09,7.48
31.92,-11.63,0.54,540.00,,,,,,,,,32.01,8.14,23.39,6.84
31.92,-11.63,0.66,660.00,,,,,,,,,27.55,7.31,23.39,6.84
31.92,-11.63,0.78,780.00,,,,,,,,,23.09,7.48,23.39,6.84
31.92,-11.63,0.90,900.00,,,,,,,,,23.09,7.48,23.39,6.84
31.92,-11.63,1.02,1020.00,,,,,,,16.20,0.00,23.09,7.48,23.39,6.84
31.92,-11.63,1.14,1140.00,,,,,,,24.10,7.91,23.09,7.48,23.39,6.84
31.92,-11.63,1.26,1260.00,,,,,,,24.10,7.91,23.09,7.48,23.09,6.89
31.92,-11.63,1.38,1380.00,,,,,,,24.10,7.91,23.09,7.48,23.09,6.89
31.92,-11.63,1.50,1500.00,16.20,0.41,10.77,0.07,2.19,2.19,32.01,8.14,23.39,6.84,23.09,6.89
31.92,-11.64,1.62,1620.00,,,,,,,,,,,,
31.92,-11.64,1.74,1740.00,,,,,,,23.09,7.48,23.39,6.84,23.09,6.89
31.92,-11.64,1.86,1860.00,,,,,,,23.09,7.48,23.39,6.84,23.09,6.89
31.92,-11.64,1.98,1980.00,,,,,,,,,,,,
31.92,-11.64,2.10,2100.00,23.09,0.27,6.10,0.17,6.05,6.05,27.55,6.89,23.39,6.84,23.09,6.89
31.92,-11.64,2.22,2220.00,17.42,0.22,3.88,0.09,0.73,0.73,23.09,7.15,23.09,6.89,23.09,6.89
31.92,-11.64,2.34,2340.00,,,,,,,23.09,7.15,23.09,6.89,23.09,6.89
31.92,-11.64,2.46,2460.00,,,,,,,23.39,6.22,23.09,6.89,23.09,6.89
31.92,-11.64,2.58,2580.00,,,,,,,23.09,2.83,23.09,6.89,23.09,6.89
31.92,-11.65,2.70,2700.00,,,,,,,20.55,3.14,23.09,6.89,23.09,6.89
31.92,-11.65,2.82,2820.00,,,,,,,23.69,0.00,23.09,6.89,23.09,6.89
31.91,-11.65,2.94,2940.00,23.69,0.35,15.10,0.01,10.36,10.36,23.69,0.00,23.09,6.89,20.25,6.89
31.91,-11.65,3.06,3060.00,,,,,,,23.69,0.00,23.39,6.73,20.25,6.89
31.91,-11.65,3.18,3180.00,,,,,,,20.20,3.49,23.09,6.42,23.09,7.94
31.91,-11.65,3.30,3300.00,,,,,,,20.20,3.49,23.09,6.42,23.09,7.94
31.91,-11.65,3.42,3420.00,,,,,,,20.20,3.49,23.09,6.42,23.09,7.94
31.91,-11.65,3.54,3540.00,,,,,,,16.71,0.00,20.25,3.18,23.09,7.94
31.91,-11.65,3.66,3660.00,16.71,0.19,4.48,0.21,4.21,4.21,16.71,0.00,17.42,3.14,23.09,7.94
31.91,-11.66,3.78,3780.00,,,,,,,16.71,0.00,20.20,3.49,23.09,7.94
31.91,-11.66,3.90,3900.00,,,,,,,16.71,0.00,16.71,3.45,23.09,7.94
31.91,-11.66,4.02,4020.00,,,,,,,16.71,0.00,16.71,3.45,23.39,7.88
31.91,-11.66,4.14,4140.00,,,,,,,16.71,0.00,20.20,8.43,23.09,7.95
31.91,-11.66,4.26,4260.00,,,,,,,,,20.20,8.43,23.09,7.95
31.91,-11.66,4.38,4380.00,,,,,,,,,20.20,8.43,20.25,8.77
31.91,-11.66,4.50,4500.00,,,,,,,,,16.71,9.73,17.42,7.96
31.91,-11.66,4.62,4620.00,,,,,,,,,16.71,9.73,17.06,8.52
31.91,-11.66,4.74,4740.00,,,,,,,,,16.71,9.73,16.71,9.24
31.91,-11.66,4.86,4860.00,,,,,,,16.07,0.00,16.71,9.73,16.71,9.24
31.91,-11.67,4.98,4980.00,,,,,,,16.07,0.00,16.71,9.73,16.39,9.00
31.91,-11.67,5.10,5100.00,,,,,,,26.54,10.48,16.71,9.73,16.39,9.00
31.91,-11.67,5.22,5220.00,,,,,,,26.54,10.48,26.54,10.48,16.39,9.00
31.91,-11.67,5.34,5340.00,16.07,0.08,8.02,0.05,5.21,5.21,26.54,10.48,16.07,11.57,16.39,9.00
31.91,-11.67,5.46,5460.00,,,,,,,26.54,10.48,16.07,11.57,14.19,9.22
31.91,-11.67,5.58,5580.00,,,,,,,,,,,,
31.91,-11.67,5.70,5700.00,,,,,,,26.54,10.48,16.07,11.57,12.37,8.70
31.91,-11.67,5.82,5820.00,,,,,,,26.54,10.48,16.07,11.57,12.37,8.70
31.91,-11.67,5.94,5940.00,,,,,,,37.02,0.00,14.19,10.71,12.37,8.70
31.91,-11.68,6.06,6060.00,,,,,,,37.02,0.00,14.19,10.71,12.37,8.70
31.91,-11.68,6.18,6180.00,,,,,,,,,14.19,10.71,12.34,9.39
31.91,-11.68,6.30,6300.00,,,,,,,10.01,0.00,14.19,10.71,12.34,9.39
31.91,-11.68,6.42,6420.00,,,,,,,10.01,0.00,12.31,10.10,12.31,8.92
31.91,-11.68,6.54,6540.00,,,,,,,10.01,0.00,12.34,9.39,12.31,8.92
31.91,-11.68,6.66,6660.00,,,,,,,10.01,0.00,12.34,9.39,12.31,8.92
31.91,-11.68,6.78,6780.00,10.01,0.07,1.73,0.11,1.35,1.35,10.01,0.00,12.34,9.39,12.31,8.92
31.91,-11.68,6.90,6900.00,,,,,,,11.16,1.15,12.31,10.29,12.31,8.92
31.91,-11.68,7.02,7020.00,,,,,,,11.16,1.15,12.31,10.29,12.31,8.92
31.91,-11.69,7.14,7140.00,,,,,,,11.16,1.15,11.59,1.00,12.34,8.37
31.91,-11.69,7.26,7260.00,,,,,,,11.16,1.15,11.59,1.00,12.31,8.10
31.91,-11.69,7.38,7380.00,12.31,0.33,1.96,0.13,0.92,0.92,11.59,0.72,10.88,0.93,12.31,8.10
31.91,-11.69,7.50,7500.00,,,,,,,12.31,0.69,10.88,0.93,12.31,8.10
31.91,-11.69,7.62,7620.00,,,,,,,12.31,0.69,10.88,0.93,12.31,8.10
31.91,-11.69,7.74,7740.00,,,,,,,12.31,0.69,10.88,0.93,12.34,8.82
31.91,-11.69,7.86,7860.00,10.88,0.13,2.96,0.03,1.62,1.62,12.31,0.69,10.88,0.93,12.34,8.83
31.91,-11.69,7.98,7980.00,12.37,0.32,2.20,0.03,1.51,1.51,11.62,0.75,10.88,0.93,12.34,8.83
31.91,-11.69,8.10,8100.00,,,,,,,11.62,0.75,11.59,2.53,12.31,5.92
31.91,-11.69,8.22,8220.00,,,,,,,11.62,0.75,10.88,2.47,12.31,5.92
31.91,-11.70,8.34,8340.00,,,,,,,10.88,0.73,11.59,2.52,12.31,5.92
31.91,-11.70,8.46,8460.00,,,,,,,11.57,0.80,11.59,2.52,12.31,5.92
31.91,-11.70,8.58,8580.00,,,,,,,10.77,0.00,11.59,2.52,12.31,5.92
31.91,-11.70,8.70,8700.00,,,,,,,10.77,0.00,12.31,6.48,12.31,5.92
31.91,-11.70,8.82,8820.00,10.77,0.17,3.24,0.14,0.77,0.77,10.77,0.00,12.34,6.06,12.31,5.92
31.91,-11.70,8.94,8940.00,,,,,,,10.77,0.00,12.37,6.40,12.31,5.92
31.91,-11.70,9.06,9060.00,,,,,,,14.21,3.44,12.37,6.40,12.31,5.92
31.91,-11.70,9.18,9180.00,,,,,,,10.77,3.43,12.37,6.40,12.34,6.05
31.91,-11.70,9.30,9300.00,,,,,,,10.77,3.43,12.37,6.40,12.34,6.05
31.91,-11.71,9.42,9420.00,,,,,,,13.85,3.81,13.70,6.65,12.34,6.05
31.91,-11.71,9.54,9540.00,17.65,0.25,6.19,0.09,1.99,1.99,13.85,3.81,15.03,7.07,12.34,6.05
31.91,-11.71,9.66,9660.00,10.04,0.20,1.73,0.06,1.89,1.89,17.65,8.06,15.03,7.07,12.34,6.05
31.91,-11.71,9.78,9779.00,,,,,,,16.34,7.20,15.03,7.07,12.34,6.05
31.91,-11.71,9.90,9899.00,,,,,,,16.34,7.20,15.03,7.07,12.37,6.30
31.91,-11.71,10.02,10019.00,,,,,,,16.34,7.20,15.03,7.07,12.37,6.30
31.90,-11.71,10.14,10139.00,,,,,,,,,,,,
31.90,-11.71,10.26,10259.00,15.03,0.09,5.43,0.04,5.79,5.79,22.33,7.30,15.03,6.77,14.43,6.53
31.90,-11.71,10.38,10379.00,,,,,,,22.33,7.30,16.34,6.88,15.03,6.31
31.90,-11.71,10.50,10499.00,,,,,,,22.33,7.30,16.34,6.88,16.34,6.44
31.90,-11.72,10.62,10619.00,,,,,,,22.33,7.30,16.34,6.88,15.03,6.57
31.90,-11.72,10.74,10739.00,,,,,,,15.03,0.00,16.34,6.88,14.73,6.33
31.90,-11.72,10.86,10859.00,,,,,,,,,16.34,6.88,14.73,6.33
31.90,-11.72,10.98,10979.00,,,,,,,,,16.34,6.88,14.73,6.33
31.90,-11.72,11.10,11099.00,,,,,,,21.81,0.00,18.42,7.64,14.73,6.33
31.90,-11.72,11.22,11219.00,,,,,,,15.90,5.91,18.42,6.95,14.73,6.33
31.90,-11.72,11.34,11339.00,,,,,,,15.90,5.91,17.99,6.46,15.03,6.37
31.90,-11.72,11.46,11459.00,,,,,,,15.90,5.91,17.99,6.46,15.03,6.37
31.90,-11.72,11.58,11579.00,21.81,0.35,13.45,0.10,4.67,4.67,15.90,5.91,16.51,6.89,15.03,6.37
31.90,-11.72,11.70,11699.00,9.99,0.07,4.05,0.02,2.55,2.55,15.90,5.91,14.73,5.38,15.03,6.37
31.90,-11.72,11.82,11819.00,,,,,,,15.90,5.91,14.43,5.74,15.03,6.37
31.90,-11.72,11.94,11939.00,,,,,,,15.90,5.91,14.43,5.74,14.73,6.98
31.89,-11.73,12.06,12059.00,,,,,,,21.81,6.87,14.43,5.74,14.43,7.27
31.89,-11.73,12.18,12179.00,,,,,,,14.43,6.87,14.43,5.74,14.73,7.39
31.89,-11.73,12.30,12299.00,,,,,,,17.99,4.96,14.43,5.74,14.73,7.39
31.89,-11.73,12.42,12419.00,,,,,,,17.99,4.96,14.43,5.74,14.73,7.39
31.89,-11.73,12.54,12539.00,26.27,0.40,3.78,0.30,8.93,8.93,16.21,6.19,14.43,5.74,14.73,7.39
31.89,-11.73,12.66,12659.00,14.43,0.13,9.13,0.28,6.22,6.22,14.43,5.66,14.43,5.74,14.43,6.23
31.89,-11.73,12.78,12779.00,17.99,0.14,5.10,0.13,5.39,5.39,14.43,5.66,14.43,5.74,14.22,6.61
31.89,-11.73,12.90,12899.00,,,,,,,14.43,5.66,14.22,6.61,14.22,6.61
31.89,-11.73,13.02,13019.00,9.26,0.12,8.26,0.05,8.01,8.01,14.43,5.66,14.22,6.61,14.22,6.61
31.89,-11.73,13.14,13139.00,14.02,0.22,8.81,0.02,3.10,3.10,14.22,3.10,14.02,6.47,14.22,6.61
31.89,-11.73,13.26,13259.00,,,,,,,14.02,3.57,14.22,6.78,14.22,6.61
31.89,-11.74,13.38,13379.00,,,,,,,11.64,2.38,14.22,6.78,14.22,6.61
31.89,-11.74,13.50,13499.00,,,,,,,11.64,2.38,14.22,6.78,14.22,6.61
31.89,-11.74,13.62,13619.00,,,,,,,14.02,0.00,14.22,6.78,14.22,6.61
31.89,-11.74,13.74,13739.00,,,,,,,,,14.22,6.78,14.22,6.61
31.89,-11.74,13.86,13859.00,,,,,,,4.61,0.00,14.22,6.78,14.02,6.78
31.88,-11.74,13.98,13979.00,,,,,,,4.61,0.00,14.22,6.78,14.02,6.78
31.88,-11.74,14.10,14099.00,,,,,,,4.61,0.00,14.02,4.65,12.00,6.55
31.88,-11.74,14.22,14219.00,,,,,,,4.61,0.00,11.64,5.02,14.02,6.90
31.88,-11.74,14.34,14339.00,4.61,0.05,-0.01,0.02,0.88,0.88,4.61,0.00,9.26,3.84,14.02,6.90
31.88,-11.74,14.46,14459.00,,,,,,,4.61,0.00,9.26,3.84,14.02,6.90
31.88,-11.74,14.58,14579.00,,,,,,,4.61,0.00,9.31,4.70,14.02,6.90
31.88,-11.75,14.70,14699.00,,,,,,,4.61,0.00,4.61,0.00,14.02,6.90
31.88,-11.75,14.82,14819.00,,,,,,,4.61,0.00,5.43,0.81,14.02,6.90
31.88,-11.75,14.94,14939.00,,,,,,,,,5.43,0.81,14.02,6.90
