# Longitude (deg), Latitude (deg), Distance Along Fault (km), Distance Along Fault (m), Scarp Height (m), Scarp Height Std (m), Upper Slope Angle (deg), upper slope std, Lower Slope Angle (deg), lower_slope_std, Filtered Median offset (1km), filtered standard deviation (1km), Filtered Median offset (3km), filtered standard deviation (3km), Filtered Median offset (5km), filtered standard deviation (5km)
31.77,-12.02,0.06,60.00,,,,,,,12.01,5.99,18.00,6.33,8.71,6.49
31.77,-12.02,0.18,180.00,,,,,,,18.00,6.33,18.00,6.33,8.71,6.49
31.78,-12.02,0.30,300.00,,,,,,,18.00,6.33,18.00,6.33,8.71,6.49
31.78,-12.02,0.42,420.00,6.03,0.16,6.50,0.38,2.16,2.16,18.00,6.33,18.00,6.33,8.71,6.49
31.78,-12.02,0.54,540.00,18.00,0.23,2.67,0.20,0.34,0.34,18.00,6.33,13.36,6.09,8.71,6.49
31.78,-12.02,0.66,660.00,20.55,0.16,4.73,0.02,4.09,4.09,18.00,6.33,8.71,6.49,8.71,6.49
31.78,-12.02,0.78,780.00,,,,,,,18.00,6.33,8.71,6.49,8.71,6.49
31.78,-12.02,0.90,900.00,,,,,,,18.00,6.33,8.71,6.49,8.71,6.49
31.78,-12.02,1.02,1020.00,,,,,,,19.27,1.27,8.71,6.49,8.71,6.49
31.78,-12.02,1.14,1140.00,,,,,,,20.55,0.00,8.71,6.49,8.71,6.49
31.78,-12.02,1.26,1260.00,,,,,,,,,8.71,6.49,8.71,6.49
31.79,-12.02,1.38,1380.00,,,,,,,,,8.71,6.49,8.71,6.49
31.79,-12.02,1.50,1500.00,,,,,,,8.71,0.00,8.71,6.49,8.71,6.49
31.79,-12.02,1.62,1620.00,,,,,,,6.61,2.10,8.71,6.49,8.71,6.49
31.79,-12.02,1.74,1740.00,,,,,,,6.61,2.10,8.71,6.49,8.71,6.49
31.79,-12.02,1.86,1860.00,,,,,,,6.61,2.10,8.71,6.49,8.71,6.49
31.79,-12.02,1.98,1980.00,8.71,0.14,0.34,0.16,2.59,2.59,6.61,2.10,13.36,6.56,8.71,6.49
31.79,-12.02,2.10,2100.00,4.51,0.09,1.73,0.05,1.06,1.06,6.61,2.10,8.71,6.79,8.71,6.49
31.79,-12.02,2.22,2220.00,,,,,,,6.61,2.10,6.61,2.10,8.71,6.49
31.79,-12.02,2.34,2340.00,,,,,,,6.61,2.10,6.61,2.10,8.71,6.49
