# Longitude (deg), Latitude (deg), Distance Along Fault (km), Distance Along Fault (m), Scarp Height (m), Scarp Height Std (m), Upper Slope Angle (deg), upper slope std, Lower Slope Angle (deg), lower_slope_std, Filtered Median offset (1km), filtered standard deviation (1km), Filtered Median offset (3km), filtered standard deviation (3km), Filtered Median offset (5km), filtered standard deviation (5km)
31.99,-12,0.06,60,13.59,0.08,4.76,0.05,3.89,3.89,13.29,0.3,31.9,12.43,35.69,13.07
31.99,-12,0.18,180,,,,,,,13.29,0.3,31.9,12.43,35.69,13.07
31.99,-12,0.3,300,,,,,,,13.29,0.3,33.48,14.45,35.69,13.07
31.99,-12,0.42,420,13,0.36,2.78,0.22,4.49,4.49,13.29,0.3,35.06,13.48,35.69,13.07
32,-11.99,0.54,540,,,,,,,13.29,0.3,35.06,13.48,35.69,13.07
32,-11.99,0.66,660,,,,,,,22.45,9.45,35.69,13.07,35.69,13.07
32,-11.99,0.78,780,,,,,,,31.9,12.99,35.69,13.07,35.69,13.07
32,-11.99,0.9,900,,,,,,,31.9,12.99,35.69,13.07,35.69,13.07
32,-11.99,1.02,1020,,,,,,,35.06,5.4,35.69,13.07,35.69,13.07
32,-11.99,1.14,1140,31.9,1.45,5.61,1.75,3.42,3.42,35.06,5.4,35.69,13.07,35.69,13.07
32,-11.99,1.26,1260,44.61,0.39,7.34,0.04,1.01,1.01,39.83,7.81,35.69,13.07,35.69,13.07
32,-11.99,1.38,1380,,,10.49,0.08,-1.3,-1.3,36.32,7.21,35.69,13.07,35.69,13.07
32,-11.99,1.5,1500,35.06,0.28,8.13,0.09,6.08,6.08,36.32,7.21,35.69,13.07,35.69,13.07
32,-11.99,1.62,1620,,,,,,,39.55,6.67,36.32,11.4,35.69,13.07
32,-11.99,1.74,1740,51.62,0.93,7.25,0.43,8.83,8.83,42.77,6.01,36.32,11.4,35.69,13.07
32,-11.99,1.86,1860,36.32,0.86,5.95,0.41,11.22,11.22,39.55,6.57,36.32,11.4,35.69,13.07
32.01,-11.99,1.98,1980,,,,,,,39.55,6.57,39.55,6.67,35.06,14.14
32.01,-11.99,2.1,2100,42.77,0.51,11.04,0.08,4.34,4.34,42.77,6.27,39.55,6.67,33.48,14.81
32.01,-11.98,2.22,2220,,,,,,,42.77,6.27,39.55,6.67,31.9,14.85
32.01,-11.98,2.34,2340,,,,,,,39.55,3.23,39.55,6.67,24.61,14.5
32.01,-11.98,2.46,2460,,,,,,,42.77,0,39.55,6.67,24.61,14.5
32.01,-11.98,2.58,2580,,,,,,,42.77,0,39.55,6.67,31.9,14.56
32.01,-11.98,2.7,2700,,,,,,,,,42.77,6.01,31.9,14.56
32.01,-11.98,2.82,2819,,,,,,,,,39.55,6.57,25.41,14.17
32.01,-11.98,2.94,2939,,,,,,,,,36.32,13.33,31.9,14.1
32.01,-11.98,3.06,3059,,,,,,,,,36.32,16.74,25.41,14.5
32.02,-11.98,3.18,3178,,,,,,,,,24.73,16.59,25.41,14.5
32.02,-11.98,3.3,3298,,,,,,,,,15.22,12.81,25.41,14.5
32.02,-11.98,3.42,3418,,,,,,,,,13.14,12.12,25.41,14.5
32.02,-11.98,3.54,3538,,,,,,,,,13.14,12.12,25.41,14.5
32.02,-11.98,3.66,3658,,,,,,,,,12.34,2.66,18.93,15.06
32.02,-11.98,3.78,3778,,,,,,,,,13.14,3.34,18.12,14.61
32.02,-11.98,3.9,3898,,,,,,,11.54,0,13.14,3.34,18.12,14.61
32.02,-11.98,4.02,4018,,,12.35,0.27,-0.27,-0.27,10.89,0.65,12.34,3.55,15.22,15
32.02,-11.98,4.14,4138,,,,,,,11.54,1.19,12.34,3.55,15.22,15
32.02,-11.98,4.26,4258,,,,,,,12.34,2.66,12.34,3.55,13.14,11.85
32.02,-11.98,4.38,4378,11.54,0.38,12.21,0.33,2.92,2.92,12.34,2.66,12.34,3.55,11.54,10.46
32.03,-11.98,4.5,4498,10.23,0.11,10.45,0.05,6.93,6.93,12.34,2.66,12.34,3.55,11.54,10.46
32.03,-11.97,4.62,4618,13.14,0.49,10.1,0.16,1.55,1.55,12.34,2.66,12.34,3.55,10.89,4.1
32.03,-11.97,4.74,4738,17.31,0.33,1.53,0.3,1.21,1.21,13.14,3.34,12.34,3.55,11.54,3.87
32.03,-11.97,4.86,4858,,,,,,,13.14,3.34,12.34,3.55,11.54,3.87
32.03,-11.97,4.98,4978,,,,,,,13.14,3.78,11.54,3.94,10.89,4.13
32.03,-11.97,5.1,5098,,,,,,,15.22,3.73,11.54,3.94,10.23,4.24
32.03,-11.97,5.22,5218,18.93,0.16,3.23,0.06,0.24,0.24,17.31,4.18,11.54,3.94,9.8,4.09
32.03,-11.97,5.34,5338,,,-0.63,0.12,0.75,0.75,14.14,4.78,10.89,4.1,10.23,3.94
32.03,-11.97,5.46,5458,9.36,0.12,1.01,0.04,2.54,2.54,14.14,4.78,10.89,4.1,9.8,3.91
32.03,-11.97,5.58,5578,,,,,,,14.14,4.78,10.89,4.1,10.23,4.22
32.03,-11.97,5.7,5697,,,2.18,0.02,-0.95,-0.95,14.14,4.78,11.54,3.87,10.23,4.22
32.03,-11.97,5.82,5817,,,,,,,9.36,0,11.54,3.87,10.23,4.22
32.03,-11.97,5.94,5937,,,,,,,8.3,1.06,10.23,4.35,10.19,4.09
32.03,-11.96,6.06,6057,,,,,,,7.24,0,9.36,4.67,10.19,4.09
32.03,-11.96,6.18,6177,,,,,,,7.24,0,8.85,4.61,10.23,3.99
32.03,-11.96,6.3,6297,,,,,,,7.15,0.09,8.85,3.92,10.23,3.99
32.03,-11.96,6.42,6417,7.24,0.45,0.15,0.2,0.88,0.88,7.15,0.09,8.04,3.8,10.86,4.47
32.03,-11.96,6.54,6537,,,,,,,7.15,0.09,8.85,4.4,10.86,4.47
32.03,-11.96,6.66,6657,,,,,,,7.24,2.07,8.85,4.4,10.86,4.47
32.03,-11.96,6.78,6777,7.07,0.2,1.03,0.21,1.35,1.35,7.24,2.07,8.04,3.55,10.86,4.47
32.03,-11.96,6.9,6897,,,,,,,7.15,2.24,8.85,3.4,10.23,4.6
32.04,-11.96,7.02,7017,,,,,,,6.4,2.43,8.04,3.56,11.49,4.68
32.04,-11.95,7.14,7137,11.54,0.16,0.33,0.1,0.14,0.14,7.07,2.24,8.85,3.52,10.82,4.82
32.04,-11.95,7.26,7257,,,,,,,7.96,2.48,8.85,3.52,10.15,4.74
