# Longitude (deg), Latitude (deg), Distance Along Fault (km), Distance Along Fault (m), Scarp Height (m), Scarp Height Std (m), Upper Slope Angle (deg), upper slope std, Lower Slope Angle (deg), lower_slope_std, Filtered Median offset (1km), filtered standard deviation (1km), Filtered Median offset (3km), filtered standard deviation (3km), Filtered Median offset (5km), filtered standard deviation (5km)
33.28,-10.75,0.06,60.00,,,,,,,,,14.37,1.71,14.37,1.71
33.28,-10.75,0.18,180.00,,,,,,,,,14.37,1.71,14.37,1.71
33.28,-10.75,0.30,300.00,,,,,,,13.80,0.00,14.37,1.71,14.37,1.71
33.28,-10.75,0.42,420.00,,,-1.24,0.27,-6.42,-6.42,13.80,0.00,14.37,1.71,14.37,1.71
33.28,-10.75,0.54,540.00,,,,,,,13.80,0.00,14.37,1.71,14.37,1.71
33.27,-10.75,0.66,660.00,,,,,,,12.73,1.07,14.37,1.71,14.37,1.71
33.27,-10.75,0.78,780.00,13.80,0.23,4.78,0.15,0.71,0.71,13.80,1.91,14.37,1.71,14.37,1.71
33.27,-10.75,0.90,900.00,,,,,,,14.37,1.71,14.37,1.71,14.37,1.71
33.27,-10.75,1.02,1020.00,,,,,,,14.37,1.71,14.37,1.71,14.37,1.71
33.27,-10.75,1.14,1140.00,11.66,0.14,6.05,0.01,7.51,7.51,14.37,1.71,14.37,1.71,14.37,1.71
33.27,-10.75,1.26,1260.00,16.32,0.17,4.68,0.14,2.41,2.41,14.37,1.71,14.37,1.71,14.37,1.71
33.27,-10.75,1.38,1380.00,14.94,0.42,3.32,0.18,2.64,2.64,14.94,1.95,14.37,1.71,14.37,1.71
33.27,-10.75,1.50,1500.00,,,,,,,14.94,1.95,14.37,1.71,14.37,1.71
33.27,-10.76,1.62,1620.00,,,,,,,14.94,1.95,14.37,1.71,14.37,1.71
33.27,-10.76,1.74,1740.00,,,,,,,15.63,0.69,14.37,1.71,14.37,1.71
33.27,-10.76,1.86,1860.00,,,,,,,14.94,0.00,14.37,1.71,13.80,2.56
33.27,-10.76,1.98,1980.00,,,,,,,,,14.37,1.71,13.19,2.34
33.26,-10.76,2.10,2100.00,,,,,,,,,14.37,1.71,12.58,2.55
33.26,-10.76,2.22,2220.00,,,,,,,,,14.37,1.71,12.58,2.55
33.26,-10.76,2.34,2340.00,,,,,,,,,14.94,1.95,12.12,2.89
33.26,-10.76,2.46,2460.00,,,,,,,,,14.94,1.95,12.12,2.89
33.26,-10.76,2.58,2580.00,,,,,,,,,14.94,1.95,12.12,2.89
33.26,-10.76,2.70,2700.00,,,,,,,,,15.63,0.69,12.12,2.89
33.26,-10.76,2.82,2820.00,,,,,,,,,12.00,2.94,12.12,2.89
33.26,-10.77,2.94,2940.00,,,,,,,,,10.82,1.76,12.12,2.89
33.26,-10.77,3.06,3060.00,,,,,,,,,9.25,1.62,12.12,2.89
33.26,-10.77,3.18,3180.00,,,,,,,,,9.25,1.62,12.12,2.89
33.26,-10.77,3.30,3300.00,,,,,,,,,9.15,1.83,10.45,2.91
33.26,-10.77,3.42,3420.00,,,,,,,,,9.15,1.83,10.45,2.91
33.26,-10.77,3.54,3540.00,,,,,,,,,9.15,1.83,10.45,2.91
33.26,-10.77,3.66,3660.00,,,,,,,,,9.15,1.83,9.25,3.11
33.26,-10.77,3.78,3780.00,,,,,,,9.06,0.00,9.15,1.83,9.23,2.51
33.26,-10.77,3.90,3900.00,,,,,,,10.82,1.76,9.15,1.83,9.21,1.64
33.26,-10.77,4.02,4020.00,,,,,,,9.25,1.62,9.15,1.83,9.21,1.64
33.26,-10.78,4.14,4140.00,,,,,,,9.25,1.62,9.15,1.83,9.21,1.64
33.26,-10.78,4.26,4260.00,9.06,0.07,1.91,0.08,1.89,1.89,9.15,1.83,9.21,1.64,9.21,1.64
33.26,-10.78,4.38,4380.00,12.58,0.22,3.28,0.14,1.84,1.84,9.15,1.83,9.21,1.64,9.13,2.66
33.26,-10.78,4.50,4500.00,9.25,0.34,2.70,0.04,5.68,5.68,9.15,1.83,9.21,1.64,9.21,2.48
33.26,-10.78,4.62,4620.00,,,,,,,9.15,1.83,9.21,1.64,9.23,3.32
33.26,-10.78,4.74,4740.00,7.58,0.06,6.49,0.01,4.77,4.77,9.15,1.83,9.21,1.64,9.23,3.32
33.26,-10.78,4.86,4860.00,,,,,,,9.25,2.08,9.21,1.64,9.21,3.15
33.26,-10.78,4.98,4980.00,,,,,,,8.41,0.83,9.21,1.64,9.13,3.12
33.26,-10.78,5.10,5100.00,,,,,,,7.58,0.00,9.21,1.64,9.06,2.99
33.25,-10.78,5.22,5220.00,,,,,,,8.40,0.81,9.21,1.64,9.06,2.99
33.25,-10.79,5.34,5340.00,,,,,,,9.21,0.00,9.13,2.66,9.13,3.45
33.25,-10.79,5.46,5460.00,,,,,,,9.21,0.00,9.21,2.48,9.21,4.00
33.25,-10.79,5.58,5580.00,,,,,,,9.21,0.00,9.23,3.32,9.23,4.69
33.25,-10.79,5.70,5700.00,9.21,0.18,3.21,0.08,1.42,1.42,9.21,0.00,9.23,3.32,9.25,4.55
33.25,-10.79,5.82,5820.00,,,,,,,9.21,0.00,9.23,3.34,9.25,4.55
33.25,-10.79,5.94,5940.00,,,,,,,9.21,0.00,8.82,3.25,9.25,4.55
33.25,-10.79,6.06,6060.00,,,,,,,9.21,0.00,8.39,3.25,9.25,4.55
33.25,-10.79,6.18,6180.00,,,,,,,9.21,0.00,8.39,3.25,9.25,4.55
